mmsi,base_date_time,longitude,latitude,sog,cog,heading,vessel_name,imo,call_sign,vessel_type,status,length,width,draft,cargo,transceiver,mpa_name,mpa_type
338392591,2025-02-10 17:27:26,-117.89707,33.62132,0.0,38.9,,SAY ANYTHING,,,37.0,,10.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
367027990,2025-02-10 17:31:17,-120.85416,35.36649,0.0,0.0,,ANGLER,,WDC4643,60.0,,12.0,4.0,,,B,Morro Bay SMRMA,SMRMA
367027990,2025-02-10 17:28:18,-120.85415,35.36649,0.0,0.0,,ANGLER,,WDC4643,60.0,,12.0,4.0,,,B,Morro Bay SMRMA,SMRMA
338468255,2025-02-10 17:23:19,-119.56327,34.07196,8.9,252.2,,CIELO,,,37.0,,13.0,4.0,,,B,Scorpion SMR,SMR
367767350,2025-02-10 17:31:33,-117.30037,32.8169,7.8,351.0,,TROPIC THUNDER,,WDJ3367,36.0,,14.0,4.0,,,B,South La Jolla SMR,SMR
338143454,2025-02-10 17:29:10,-120.85695,35.36988,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
367767350,2025-02-10 17:23:37,-117.29705,32.80087,7.3,351.7,,TROPIC THUNDER,,WDJ3367,36.0,,14.0,4.0,,,B,South La Jolla SMR,SMR
338468255,2025-02-10 17:30:17,-119.58119,34.06346,9.3,239.0,,CIELO,,,37.0,,13.0,4.0,,,B,Scorpion SMR,SMR
368399640,2025-02-10 17:30:30,-120.50353,34.4493,6.3,125.6,,OPEN RANGE,,WDP9480,36.0,,15.0,5.0,,,B,Point Conception SMR,SMR
368167990,2025-02-10 17:31:38,-117.89483,33.62189,0.0,172.3,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
368399640,2025-02-10 17:34:33,-120.49725,34.44572,6.3,125.6,,OPEN RANGE,,WDP9480,36.0,,15.0,5.0,,,B,Point Conception SMR,SMR
338143454,2025-02-10 02:59:16,-120.85695,35.36982,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
338142675,2025-02-10 17:34:08,-117.89561,33.62234,0.0,358.9,,NUEVO,,,37.0,,20.0,6.0,,,B,Upper Newport Bay SMCA,SMCA
367104050,2025-02-10 17:33:29,-119.87994,34.37178,16.3,103.0,,RYAN T,IMO8982591,WDC9570,60.0,0.0,31.0,8.0,,60.0,A,Campus Point SMCA (No-Take),SMCA (No-Take)
338143454,2025-02-10 17:26:03,-120.85698,35.36986,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
368399640,2025-02-10 17:31:35,-120.50173,34.44822,4.7,127.6,,OPEN RANGE,,WDP9480,36.0,,15.0,5.0,,,B,Point Conception SMR,SMR
338468255,2025-02-10 17:31:49,-119.58497,34.06101,9.3,239.4,,CIELO,,,37.0,,13.0,4.0,,,B,Scorpion SMR,SMR
367104050,2025-02-10 17:34:35,-119.87432,34.37144,16.2,96.3,,RYAN T,IMO8982591,WDC9570,60.0,0.0,31.0,8.0,,60.0,A,Campus Point SMCA (No-Take),SMCA (No-Take)
367767350,2025-02-10 17:33:33,-117.30136,32.8212,8.0,344.2,,TROPIC THUNDER,,WDJ3367,36.0,,14.0,4.0,,,B,South La Jolla SMR,SMR
211503810,2025-02-10 02:57:03,-120.85606,35.36791,0.0,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
367767350,2025-02-10 17:27:03,-117.29836,32.80741,7.3,349.7,,TROPIC THUNDER,,WDJ3367,36.0,,14.0,4.0,,,B,South La Jolla SMR,SMR
368167990,2025-02-10 17:34:39,-117.89484,33.62188,0.0,172.3,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
368320160,2025-02-10 17:31:41,-120.85716,35.37006,0.0,10.0,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
338468255,2025-02-10 17:33:17,-119.58781,34.05798,9.4,228.4,,CIELO,,,37.0,,13.0,4.0,,,B,Scorpion SMR,SMR
211503810,2025-02-10 17:33:03,-120.85643,35.36815,0.0,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
338392591,2025-02-10 17:33:25,-117.89707,33.62132,0.0,38.9,,SAY ANYTHING,,,37.0,,10.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
367027990,2025-02-10 17:34:22,-120.85415,35.36649,0.0,0.0,,ANGLER,,WDC4643,60.0,,12.0,4.0,,,B,Morro Bay SMRMA,SMRMA
338468255,2025-02-10 17:34:46,-119.59012,34.05504,9.4,186.9,,CIELO,,,37.0,,13.0,4.0,,,B,Scorpion SMR,SMR
367104050,2025-02-10 17:35:51,-119.86772,34.37164,15.7,90.6,,RYAN T,IMO8982591,WDC9570,60.0,0.0,31.0,8.0,,60.0,A,Campus Point SMCA (No-Take),SMCA (No-Take)
367767350,2025-02-10 17:34:34,-117.30188,32.82338,7.7,344.5,,TROPIC THUNDER,,WDJ3367,36.0,,14.0,4.0,,,B,South La Jolla SMR,SMR
338143454,2025-02-10 17:34:56,-120.85697,35.36985,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
338400762,2025-02-10 17:34:51,-117.89404,33.61984,0.0,351.7,,WILD HARE,,XXXXXXX,37.0,,12.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
211503810,2025-02-10 17:36:04,-120.85642,35.36818,0.0,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
367104050,2025-02-10 17:37:33,-119.85901,34.37136,15.2,81.9,,RYAN T,IMO8982591,WDC9570,60.0,0.0,31.0,8.0,,60.0,A,Campus Point SMCA (No-Take),SMCA (No-Take)
367104050,2025-02-10 17:39:03,-119.85141,34.37077,15.6,95.1,,RYAN T,IMO8982591,WDC9570,60.0,0.0,31.0,8.0,,60.0,A,Campus Point SMCA (No-Take),SMCA (No-Take)
368167990,2025-02-10 17:37:39,-117.89483,33.62188,0.0,172.3,,IT'S ALL GOOD,,WDL8279,37.0,,14.0,5.0,,,B,Upper Newport Bay SMCA,SMCA
368320160,2025-02-10 17:37:42,-120.85715,35.37005,0.0,355.1,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
368399640,2025-02-10 17:40:38,-120.4865,34.44057,7.9,117.0,,OPEN RANGE,,WDP9480,36.0,,15.0,5.0,,,B,Point Conception SMR,SMR
338143454,2025-02-10 17:38:10,-120.85696,35.36984,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
338400762,2025-02-10 17:40:51,-117.89404,33.61986,0.0,351.7,,WILD HARE,,XXXXXXX,37.0,,12.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
368320160,2025-02-10 17:34:42,-120.85715,35.37006,0.0,2.4,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
368399640,2025-02-10 17:41:42,-120.48435,34.43987,7.1,109.1,,OPEN RANGE,,WDP9480,36.0,,15.0,5.0,,,B,Point Conception SMR,SMR
338468255,2025-02-10 17:36:18,-119.59017,34.05728,9.4,337.9,,CIELO,,,37.0,,13.0,4.0,,,B,Scorpion SMR,SMR
211503810,2025-02-10 17:42:03,-120.85645,35.36817,0.1,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
338142675,2025-02-10 17:37:07,-117.89562,33.62234,0.1,76.7,,NUEVO,,,37.0,,20.0,6.0,,,B,Upper Newport Bay SMCA,SMCA
368399640,2025-02-10 17:42:43,-120.48225,34.43927,7.1,105.6,,OPEN RANGE,,WDP9480,36.0,,15.0,5.0,,,B,Point Conception SMR,SMR
368320160,2025-02-10 17:40:42,-120.85711,35.37008,0.0,356.3,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
338392591,2025-02-10 17:42:23,-117.89707,33.62132,0.0,38.9,,SAY ANYTHING,,,37.0,,10.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
338142675,2025-02-10 17:46:07,-117.89562,33.62234,0.0,76.7,,NUEVO,,,37.0,,20.0,6.0,,,B,Upper Newport Bay SMCA,SMCA
211503810,2025-02-10 17:45:05,-120.85643,35.36819,0.1,,,RANTJE,,DD5612,36.0,,13.0,4.0,,,B,Morro Bay SMRMA,SMRMA
338143454,2025-02-10 17:43:49,-120.85697,35.36987,0.0,,,SWELL DISH,,,36.0,,12.0,3.0,,,B,Morro Bay SMRMA,SMRMA
368320160,2025-02-10 17:43:42,-120.85715,35.37004,0.0,327.3,,SOUVENIR,,WDD7936,37.0,5.0,27.0,7.0,2.0,37.0,A,Morro Bay SMRMA,SMRMA
338392591,2025-02-10 17:45:23,-117.89707,33.62132,0.0,38.9,,SAY ANYTHING,,,37.0,,10.0,4.0,,,B,Upper Newport Bay SMCA,SMCA
