mmsi,mpa_name,mpa_type,n_pings,mean_speed,speed_std,mean_heading_change_rate,time_in_mpa_minutes,max_stationary_minutes,n_direction_reversals
367062870,Portuguese Ledge SMCA,SMCA,3.0,6.333333333333333,0.1699673171197597,3.606459330143532,4.0,0.0,0.0
367104050,Campus Point SMCA (No-Take),SMCA (No-Take),12.0,16.525000000000002,0.9102426416437908,4.620532070798169,107.56666666666666,0.0,1.0
367107830,Morro Bay SMRMA,SMRMA,104.0,0.0,0.0,0.0,1344.0166666666669,1344.0166666666669,0.0
367177280,Point Reyes SMCA,SMCA,4.0,7.55,0.1499999999999998,6.026034427904016,6.466666666666667,0.0,0.0
367192940,Blue Cavern Offshore SMCA,SMCA,6.0,26.6,0.2160246899469284,2.6744544592030364,5.366666666666666,0.0,0.0
367192940,Blue Cavern Onshore SMCA (No-Take),SMCA (No-Take),5.0,26.540000000000003,0.241660919471891,13.096335329733437,56.53333333333333,0.0,1.0
367192940,Long Point SMR,SMR,4.0,26.175,0.1479019945774896,4.221572580645163,3.2666666666666666,0.0,0.0
367404860,Abalone Cove SMCA,SMCA,8.0,6.575,0.2817356917396161,2.188910474340286,10.166666666666666,0.0,0.0
367404860,Point Vicente SMCA (No-Take),SMCA (No-Take),8.0,6.9375,0.2496873044429771,2.2725155700472546,13.35,0.0,0.0
367463540,Pillar Point SMCA,SMCA,6.0,6.316666666666666,0.3760171390892826,3.031205600550066,335.4833333333333,0.0,0.0
367646810,Anacapa Island FMCA,FMCA,13.0,5.569230769230769,0.0605692913385521,0.6844884403036574,17.816666666666666,0.0,0.0
367646810,Anacapa Island FMR,FMR,7.0,5.6000000000000005,0.0534522483824849,0.5476248797130626,7.0,0.0,0.0
367646810,Anacapa Island SMR,SMR,14.0,5.671428571428572,0.095831484749991,1.2564213177114278,19.316666666666663,0.0,0.0
367646810,Scorpion FMR,FMR,3.0,6.866666666666667,0.0942809041582064,0.074586776859507,4.016666666666667,0.0,0.0
367646810,Scorpion SMR,SMR,6.0,6.9,8.881784197001252e-16,0.3450119277724673,12.666666666666666,0.0,0.0
367659210,Cabrillo SMR,SMR,5.0,3.38,3.618507979817096,27.061797385297,6.25,0.0,0.0
367659210,Tijuana River Mouth SMCA,SMCA,34.0,6.035294117647059,4.920538131315528,42.173704952550345,44.083333333333336,0.0,4.0
367707820,Point Vicente SMCA (No-Take),SMCA (No-Take),16.0,13.5,0.3840572873934302,3.5193157213272377,19.883333333333333,0.0,0.0
367737070,Pacific Grove Marine Gardens SMCA,SMCA,5.0,11.919999999999998,0.945304183847718,6.602325089030642,152.4,0.0,2.0
367737070,Portuguese Ledge SMCA,SMCA,20.0,8.32,3.088462400612965,12.725664097200118,54.5,0.0,1.0
367743080,Point Dume SMCA,SMCA,106.0,2.5556603773584903,3.398337001420327,21.241733069749703,386.0,33.0,11.0
367743080,Point Dume SMR,SMR,15.0,7.886666666666668,0.5607930891950156,4.124390003564399,102.5,0.0,1.0
367767350,South La Jolla SMR,SMR,7.0,7.5,0.4810702354423639,1.288769439322374,10.95,0.0,0.0
367767350,Swami's SMCA,SMCA,11.0,7.081818181818181,0.2036850591128007,3.4715275901859544,15.983333333333333,0.0,0.0
367785170,Portuguese Ledge SMCA,SMCA,9.0,8.022222222222222,4.835465685439379,8.025737376166115,13.983333333333333,0.0,0.0
368167990,Upper Newport Bay SMCA,SMCA,352.0,0.0,0.0,0.0194538184698086,1434.0,1434.0,0.0
368173330,Cat Harbor SMCA,SMCA,66.0,0.0696969696969696,0.0549647186279304,4.741308814505453,1044.0333333333333,1044.0333333333335,3.0
