# 24-hour MPA fishing-entry forecast for 2024-06-03. 1729 vessels were evaluated near California MPAs. The highest-risk vessel is MMSI 338467817 (UNNAMED), 0.9 km from Año Nuevo SMR with a risk score of 1.00, driven by: traffic_within_10km; dist_to_mpa_m; day_of_week.
mmsi,vessel_name,risk,nearest_mpa,dist_to_mpa_m,sog,cog,heads_toward_mpa,prior_mpa_entries,prior_fishing_tracks,factors,base_date_time,latitude,longitude
368134480,PRINCESS MONTEREY,0.001,Edward F. Ricketts SMCA,57.331,0.0,17.1,True,0.0,0.0,tide_height_m; cog; wind_speed_kn,2024-06-03 06:00:07,36.608,-121.892
367199960,DANNY C,0.001,Anacapa Island FMR,19526.495,0.0,3.8,False,0.0,0.0,dist_to_mpa_m; day_of_week; traffic_within_10km,2024-06-03 18:00:09,34.241,-119.262
366879000,JEREMIAH O'BRIEN,0.001,Albany Mudflats SMP,11645.973,0.0,314.7,False,0.0,0.0,heading; tide_height_m; day_of_week,2024-06-03 18:02:57,37.809,-122.407
367799990,TIERRA LYNN,0.001,Edward F. Ricketts SMCA,178.253,0.0,358.5,True,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:01:41,36.608,-121.893
338316876,KAP DAN DU,0.001,Dana Point SMCA,916.982,0.0,281.9,True,0.0,0.0,wind_dir_deg; dist_to_mpa_m; day_of_week,2024-06-03 06:02:59,33.459,-117.695
368161020,CIAMAR,0.001,Robert W. Crown SMCA,475.96,0.0,147.7,False,0.0,0.0,heading; dist_to_mpa_m; day_of_week,2024-06-03 12:02:32,37.766,-122.286
367785170,PACIFICA,0.0,Portuguese Ledge SMCA,1881.668,1.8,108.2,False,1.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 18:00:04,36.668,-122.02
367724740,LA ESPADA,0.0,Abalone Cove SMCA,9641.849,20.4,58.2,False,1.0,0.0,sog; cog; day_of_week,2024-06-03 00:00:02,33.626,-118.294
338141808,FISHING LUHRS,0.0,Montara SMR,1521.936,0.0,0.0,False,0.0,0.0,traffic_within_10km; dist_to_mpa_m; day_of_week,2024-06-03 12:01:01,37.502,-122.481
367649070,RUBBER DUCKY,0.0,Anacapa Island FMR,19908.43,0.0,14.1,False,0.0,0.0,tide_height_m; day_of_week; dist_to_mpa_m,2024-06-03 00:01:18,34.245,-119.264
