# 24-hour MPA fishing-entry forecast for 2024-08-12. 1879 vessels were evaluated near California MPAs. The highest-risk vessel is MMSI 367104040 (KNOX T), 1.0 km from Naples SMCA with a risk score of 1.00, driven by: prior_mpa_entries; traffic_within_10km; dist_to_mpa_m.
mmsi,vessel_name,risk,nearest_mpa,dist_to_mpa_m,sog,cog,heads_toward_mpa,prior_mpa_entries,prior_fishing_tracks,factors,base_date_time,latitude,longitude
366858650,ESCAPADE,0.834,Edward F. Ricketts SMCA,1170.395,1.0,117.7,False,37.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 09:41:22,36.617,-121.88
366875820,SHEARWATER,0.833,Campus Point SMCA (No-Take),1352.126,0.1,272.9,False,42.0,42.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 18:00:06,34.423,-119.908
338502768,OVERKILL,0.833,Casino Point SMCA (No-Take),85.677,0.2,242.2,False,7.0,0.0,prior_mpa_entries; dist_to_mpa_m; sog,2024-08-12 18:01:33,33.348,-118.325
338486553,DOUBLE HOOK UP,0.831,Blue Cavern Offshore SMCA,1424.122,7.7,293.8,True,6.0,0.0,sog; prior_mpa_entries; traffic_within_10km,2024-08-12 18:00:26,33.469,-118.435
367796160,FIVE BY SEA,0.826,Natural Bridges SMR,5607.705,5.5,170.4,False,2.0,0.0,sog; prior_mpa_entries; traffic_within_10km,2024-08-12 18:33:34,36.941,-121.996
338443000,C-RANGER,0.825,Lover's Cove SMCA,150.818,0.1,182.8,False,2.0,0.0,prior_mpa_entries; dist_to_mpa_m; traffic_within_10km,2024-08-12 12:00:59,33.346,-118.323
367393250,APPLE,0.824,Arrow Point to Lion Head Point SMCA,151.594,0.3,223.7,False,44.0,0.0,prior_mpa_entries; sog; traffic_within_10km,2024-08-12 23:54:48,33.468,-118.527
338176324,TIGHT RIV,0.817,Lover's Cove SMCA,19912.958,8.9,301.6,True,16.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 20:51:14,33.243,-118.136
368291930,PEGASUS,0.816,Crystal Cove SMCA,1241.315,4.2,281.5,False,27.0,0.0,prior_mpa_entries; sog; peak_hour,2024-08-12 00:00:32,33.602,-117.886
368056020,OASIS,0.814,Lover's Cove SMCA,14267.207,6.2,320.7,False,0.0,0.0,sog; traffic_within_10km; peak_hour,2024-08-12 20:35:21,33.315,-118.165
235070448,ALUMNI,0.807,Edward F. Ricketts SMCA,244.399,4.7,355.0,False,5.0,0.0,sog; prior_mpa_entries; traffic_within_10km,2024-08-12 18:00:07,36.608,-121.887
367799990,TIERRA LYNN,0.805,Edward F. Ricketts SMCA,178.538,0.1,358.5,True,33.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 06:00:09,36.608,-121.893
367167740,ANDREA DONN 4,0.803,Arrow Point to Lion Head Point SMCA,401.177,0.2,85.9,False,4.0,0.0,prior_mpa_entries; sog; dist_to_mpa_m,2024-08-12 06:02:14,33.45,-118.499
367185930,ISLAND GREETER,0.8,Long Point SMR,1514.641,0.1,20.8,True,17.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 12:01:44,33.393,-118.366
367645420,FADER'S WATCH,0.8,Long Point SMR,15590.377,5.8,77.1,False,30.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 00:00:11,33.523,-118.246
338471128,AIMANT DE FILLE,0.797,Arrow Point to Lion Head Point SMCA,125.282,2.7,146.6,False,1.0,0.0,sog; dist_to_mpa_m; traffic_within_10km,2024-08-12 16:33:09,33.468,-118.528
366999663,CG HAWKSBILL,0.791,Edward F. Ricketts SMCA,9.748,0.0,198.0,False,8.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 12:00:00,36.609,-121.891
367675440,SEQUOIA,0.79,Santa Barbara Island SMR,1652.166,3.4,196.6,True,1.0,0.0,sog; traffic_within_10km; dist_to_mpa_m,2024-08-12 00:00:14,33.49,-118.998
338306941,PILLAR POINT ALMAR,0.789,Montara SMR,1429.222,0.1,358.6,False,3.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 20:07:59,37.503,-122.482
338443763,BELLISSIMA,0.786,Blue Cavern Onshore SMCA (No-Take),915.876,0.0,0.0,False,4.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 14:31:38,33.445,-118.498
366969980,MARIN,0.784,Corte Madera Marsh SMP,418.823,0.0,264.2,False,66.0,0.0,prior_mpa_entries; peak_hour; traffic_within_10km,2024-08-12 23:07:59,37.945,-122.509
338462009,SEASATS 27,0.784,South La Jolla SMCA,4132.527,1.5,87.1,False,2.0,0.0,traffic_within_10km; prior_mpa_entries; sog,2024-08-12 12:00:00,32.78,-117.372
367421980,JACKIE C,0.783,Kashtayit SMCA,11417.993,1.0,194.6,False,26.0,0.0,prior_mpa_entries; traffic_within_10km; sog,2024-08-12 18:00:34,34.356,-120.275
367725380,EVENTIDE,0.779,Edward F. Ricketts SMCA,566.97,0.1,356.3,True,3.0,0.0,prior_mpa_entries; traffic_within_10km; peak_hour,2024-08-12 06:02:01,36.604,-121.892
338239297,CUTT LOOSE,0.775,Lover's Cove SMCA,19677.361,8.2,321.2,True,3.0,0.0,sog; prior_mpa_entries; traffic_within_10km,2024-08-12 19:25:03,33.218,-118.163
338234944,PILLAR POINT RADON,0.773,Montara SMR,1437.571,0.2,359.5,False,7.0,0.0,prior_mpa_entries; traffic_within_10km; dist_to_mpa_m,2024-08-12 15:14:48,37.503,-122.482
338313712,LA VIDA LOCA,0.772,Lover's Cove SMCA,322.655,0.1,360.0,False,4.0,0.0,prior_mpa_entries; peak_hour; traffic_within_10km,2024-08-12 12:02:06,33.345,-118.325
338214091,TOMOL,0.763,Arrow Point to Lion Head Point SMCA,77.849,0.2,53.4,False,14.0,0.0,prior_mpa_entries; dist_to_mpa_m; sog,2024-08-12 18:05:04,33.468,-118.53
338345509,GRAY PEARL,0.759,Upper Newport Bay SMCA,1362.741,0.0,360.0,False,9.0,0.0,prior_mpa_entries; peak_hour; cog,2024-08-12 00:02:25,33.605,-117.885
338205009,BESO DEL SOL,0.758,Upper Newport Bay SMCA,853.923,4.1,262.7,False,6.0,0.0,prior_mpa_entries; sog; peak_hour,2024-08-12 00:00:36,33.609,-117.901
338473357,MAYA JEAN,0.755,Natural Bridges SMR,2275.246,5.3,288.6,False,33.0,0.0,prior_mpa_entries; sog; traffic_within_10km,2024-08-12 12:00:26,36.931,-122.088
